"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
376,0.2,0.6,0.75,0,0.002,1,0.2,"relu",0.6,0.8,0.674952831286123,-29.2814127958422,0.0910843367356016,1.33987735525606,0.225344104777747,0.577683716969827,-8.09100907865051,0.00144700236642006,1.12235295903338,0.098313374296928
792,1,0,0.25,1,0.002,2,0.2,"relu",0.3,1,0.682085930377336,-29.4366815289368,0.0882273567624811,1.31332607478393,0.231896614275364,0.577671398545522,-8.09134492297935,-0.00446529103049144,1.10204301858638,0.0978678506261615
65,0,0.8,0.5,0.75,0.002,1,0.1,"relu",0.4,0.9,0.691273388147521,-28.9104615577242,0.105108104600113,1.39631375992628,0.247370881606291,0.577637363999008,-8.1846216415574,-0.0146175141948718,1.14900164071531,0.0958026126845173
684,1,0,0,0.25,0.002,1,0.2,"relu",0.9,0.1,0.708319425391437,-28.4809066684891,0.127502838955224,1.58885690919503,0.270570571030325,0.57756245350513,-8.36932345285985,-0.0678804621778429,1.20054387937887,0.0978240623855099
78,0.4,0.8,1,1,0.002,1,0.2,"relu",0,0.6,0.690428393794446,-29.6949890997105,0.0947510790306923,1.3053263781605,0.245539004699329,0.577513387619951,-8.14281132578664,0.00489381098867719,1.10940518376761,0.100688386423849
159,0.2,1,1,0.75,0.002,1,0.2,"relu",1,0.5,0.673992168396078,-29.4404354412743,0.085461608566626,1.29935835704792,0.221891345329889,0.577466766922499,-8.1013693296156,0.00134671405692682,1.12379856915996,0.100306824344494
557,0,0.6,0,0,0.002,2,0.2,"relu",0.3,0.1,0.687151570448328,-28.9967937820573,0.102872238751465,1.47019684566354,0.237381517512049,0.577466572333304,-8.34922671085002,-0.0558270285992672,1.16910202626208,0.0976025367505198
713,1,1,0.5,0.75,0.002,2,0.2,"relu",0.1,0.9,0.672080522558264,-29.6671896487913,0.0760774677150342,1.24859216275342,0.219561073916391,0.577393745255363,-8.09681000685783,0.00287683869154759,1.09233595460699,0.0886721904713833
48,0,1,0.75,0.75,0.002,1,0.1,"relu",0.3,0.4,0.710142585808075,-28.4874097923429,0.125267925664224,1.48284251174836,0.271990528288139,0.577350165594822,-8.10671384455708,-0.00990879106943369,1.17687979491574,0.105416696681195
328,1,1,0.75,0,0.002,2,0.2,"relu",0.9,1,0.636948813912216,-30.2529152227687,0.050621915763782,1.18113487589972,0.174473107441532,0.577308055584945,-8.05262682621937,0.00871341109451039,1.07598252656179,0.0990020943480295
9,0.6,0.2,0.5,0.5,0.002,1,0.1,"relu",0.1,0.9,0.696896292072612,-28.759761240526,0.114483274370788,1.44712729110778,0.253012806465281,0.577273446084544,-8.17299016375744,-0.0107826034875095,1.15861438897827,0.0964942090633579
576,0.4,0.2,0.5,0.25,0.002,2,0.1,"relu",0.1,0.8,0.683709697430418,-29.1633572623507,0.0946764736600629,1.34577295096521,0.237229018671778,0.577270260353284,-8.03942121185357,0.00193732220922113,1.11583556187045,0.0973535804403179
196,0.2,0.8,0.75,0,0.002,1,0.1,"relu",0.6,0,0.691823189953395,-28.8718620790358,0.10856017569647,1.43486701126838,0.248663788244373,0.577250770295572,-8.12553512780412,-0.00601397818793655,1.16035148040818,0.102438947264015
814,0.6,0.4,0,0.75,0.002,1,0.2,"relu",0,0,0.694395914521134,-29.3972776304795,0.1082166253327,1.44329646886364,0.247993853988641,0.577225774694955,-8.30172635227489,-0.028879009113421,1.1631002686433,0.103083858108543
304,0.4,0.2,0,0.5,0.002,2,0.1,"relu",0.5,0.7,0.705147369028742,-28.4644056286795,0.12446839155964,1.57974846759521,0.26316474287961,0.577183618371693,-8.34755574224145,-0.0666926217829547,1.20694740197936,0.102342790386661
758,0.8,0.4,1,0.25,0.002,1,0.1,"relu",0.5,0.2,0.672060410582859,-29.4059620730519,0.0862872447606578,1.33266470253926,0.222272190504262,0.577175423907215,-8.12339480532168,-0.000881860313425765,1.13810307360699,0.0979212329857561
582,0,0.4,0.25,0.75,0.002,2,0.2,"relu",0.4,0.9,0.695036348616182,-29.0434735350558,0.101887359169209,1.33482725326712,0.254279697500568,0.577126133542837,-8.06412400062718,-0.00285869437452698,1.12461225102344,0.0978042156089564
806,0.8,0.2,1,0.5,0.002,1,0.2,"relu",0.5,1,0.66149030910312,-29.6889881065223,0.073312409240083,1.26999516155262,0.206547166276439,0.577106102546956,-8.07520503767337,0.00208632302909171,1.10856472631294,0.0926358086593826
978,0.2,1,0.25,0.5,0.002,2,0.2,"relu",0.4,0.2,0.682081059200798,-29.2856755057446,0.0906828272965855,1.29698309238725,0.234917982118881,0.577105410613554,-8.02781001324226,0.00766951121591006,1.12461208973871,0.100145562563641
516,0.4,0.2,0.25,0,0.002,1,0.2,"relu",1,0.6,0.680362068385587,-29.376477703412,0.0877565377588189,1.29322944817883,0.232815021418308,0.577093261037548,-8.0608069690711,0.00210853059908644,1.13193787604588,0.103153380378836
643,0,0.4,1,0.75,0.002,2,0.2,"relu",0.6,0.7,0.679766850382147,-29.3536889139916,0.0875284242980177,1.29186440417166,0.229641653329013,0.577002302904925,-8.03522882869006,0.00465525968845199,1.12042439167001,0.104178461715283
854,0.8,1,0.25,0.25,0.002,1,0.1,"relu",0.8,0.4,0.685261096755662,-29.0730747651556,0.0998004471442982,1.37124419072341,0.238505160885303,0.576925525970154,-8.12811251649548,-0.00812620099755426,1.15153645893318,0.0999261912549505
466,0.2,0.8,0.25,0.75,0.002,1,0.2,"relu",1,0.2,0.693567782398308,-29.1030051760881,0.100659897405855,1.36166083831995,0.251340185166153,0.576828845100893,-8.05786622621861,0.00159408937488251,1.12748743244324,0.100718382864384
655,0.6,0.8,0,0.75,0.002,2,0.2,"relu",0.3,0.4,0.675833436491542,-29.3517518736327,0.0888749822572019,1.42515174103267,0.220497737984398,0.576657761239614,-8.33034820369485,-0.066396090817395,1.18120854624237,0.0983399495196915
311,0.4,0.4,0,0,0.002,2,0.1,"relu",0.9,0.8,0.693678246958284,-28.8850604551243,0.108135979329858,1.52238935188802,0.246528359060504,0.576584811365897,-8.36159020147621,-0.069518694554584,1.20508214517996,0.101298591500013
115,0,1,1,0.75,0.002,2,0.2,"relu",0.9,0,0.660794149834588,-29.7151379029256,0.0715615700413969,1.25550214297531,0.208420390378527,0.576547939341521,-8.06484628099774,0.00382384375664331,1.10953329728703,0.0979814932905763
536,0.4,0.6,0.5,0.75,0.002,1,0.1,"relu",1,0.4,0.682371572697262,-29.3116025358042,0.0903056722908923,1.32201147456669,0.232007903949086,0.57630326130558,-8.07737042448954,0.000712162788842135,1.11364632480216,0.101271351613952
705,0.8,0.8,1,0.75,0.002,1,0.2,"relu",0.3,0,0.680168305620151,-29.4807199444427,0.0878139239349716,1.31204102707871,0.231120134727104,0.576257714397153,-8.0761356034377,0.00370921473380357,1.12099688027787,0.0935703588588183
31,0.2,0,1,0.5,0.002,2,0.2,"relu",0.1,0.1,0.648567644743513,-30.0095154128633,0.0609551237862355,1.2161221571873,0.188991912299812,0.57615268384353,-8.07559904119876,0.00654301326598168,1.09016228303695,0.0899110442037495
902,0.8,0.8,0,1,0.002,1,0.2,"relu",0.5,0.8,0.69928595328341,-28.7490279002223,0.116403361191549,1.57865720406153,0.256954294130764,0.576065087696445,-8.46882610569713,-0.0862655451127873,1.20553586385772,0.097014755282709
960,0.4,0.6,0.25,0.75,0.002,1,0.1,"relu",0.4,0.4,0.720734125998242,-28.2661827416594,0.133646351498548,1.50598465421584,0.286847508228047,0.575921729435344,-8.14233866244782,-0.0203937454283571,1.16370110400829,0.0996634820286896
77,1,1,0,1,0.002,2,0.1,"relu",0.5,0.9,0.699447569536923,-28.7056652633624,0.116105687725476,1.56250986654683,0.257972562754256,0.575765228525479,-8.32827261776915,-0.0719858789766172,1.23291784926482,0.102271124799262
955,0.6,0.4,1,0.75,0.002,2,0.1,"relu",0.9,0.3,0.673090719832234,-29.2387082383776,0.0904858690871191,1.34300341992518,0.224391476532746,0.575750181893132,-8.12777042580981,-0.00507867085846516,1.14714369116799,0.0941508321277439
624,0.4,1,0.25,0.25,0.002,2,0.2,"relu",0.9,0.7,0.677425252933502,-29.6582913755075,0.0798001322775989,1.25571798827473,0.228893739322615,0.575737630768665,-8.08869843345586,0.00516148451889803,1.08091548922853,0.100582212856428
900,0.4,1,0.25,1,0.002,1,0.2,"relu",0.1,0.4,0.695861735014881,-29.1249692514314,0.101600106595146,1.36685662467612,0.250242767585889,0.575642402460916,-8.08909432501904,-0.00603953317019539,1.14761290281875,0.0994424411002089
534,1,1,0.75,0.75,0.002,1,0.2,"relu",0.4,0,0.68217128890328,-29.4098089140442,0.0889031211180784,1.30223223355107,0.235468050995091,0.575563610029223,-8.05809865981857,0.00233736170927578,1.1354130513372,0.101133969900425
569,0.8,0.4,0.5,0.75,0.002,2,0.2,"relu",1,1,0.673779924238792,-29.5748330587073,0.077652576202825,1.24752360243766,0.223529995862624,0.575550841137792,-8.03736792774853,0.0092529750946189,1.0846625044921,0.0942013536728582
