"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
781,0.8,0,0.25,1,0.002,1,0.1,"relu",0.9,0.5,0.684646597285359,-36.2122136318879,0.0697227438673379,1.20531963873617,0.225272385444393,0.567565648160527,-9.69919012555052,0.0142265762026163,1.07397897211178,0.0850416778185709
109,1,1,0,0.75,0.002,1,0.1,"relu",0.4,0.4,0.687170742550197,-35.2171547138473,0.111038377817181,1.58246993806915,0.232168376384247,0.567511686037398,-10.1211523304898,-0.0623949131484388,1.20877535200665,0.0849729777578623
715,0.2,0.4,0.5,1,0.002,1,0.2,"relu",0.5,0.6,0.683402608802143,-36.8405412227354,0.04821410030896,1.11750948766728,0.22173741228671,0.567497235383601,-9.68673498577373,0.0141541189260959,1.04381401078003,0.0845372588865694
162,0.2,0.4,0.5,1,0.001,1,0.1,"relu",0.4,1,0.692781700918599,-36.8677875133041,0.0479738748723612,1.1173726383698,0.230259804491319,0.567460371530052,-9.69454304698555,0.0134617513709947,1.04070799042709,0.0875766169751083
334,0.4,0.8,1,1,0.002,1,0.2,"relu",0.2,0.8,0.682363856933466,-37.3662253458477,0.0300448899041865,1.06512879235612,0.218762067345951,0.567454871356892,-9.72294015890903,0.01019210676854,1.02435006804708,0.0846324193544629
684,0.2,0,0,1,0.002,1,0.2,"relu",0.9,0,0.686887017630472,-35.154204339801,0.110248530806442,1.56705834495309,0.231559572405017,0.56741713686943,-10.0607657210184,-0.054391371398702,1.20281922586337,0.0847646981689025
831,0.2,0.6,0,1,0.001,1,0.2,"relu",0.6,0.9,0.692098095575868,-35.4132246579864,0.106804323003139,1.46854562710725,0.235301899667936,0.567416162059298,-9.96298801150978,-0.0284598156862221,1.16487304519226,0.0865565485035117
230,0.6,0.6,0,0.75,0.002,2,0.2,"relu",0.9,0.9,0.686873420014601,-35.0978878873059,0.11183031708497,1.63637311284761,0.231883455659123,0.56741441812353,-10.1682118132318,-0.0714535320533445,1.22482804393093,0.084712413264266
793,1,1,0,0.5,0.002,1,0.1,"relu",1,0.4,0.687087925726144,-35.2154685461583,0.111018102149657,1.58261681325889,0.232056705949289,0.567409064246333,-10.1203372890909,-0.0627908072214445,1.20869662949879,0.0849791461958582
342,1,1,0,0.25,0.002,1,0.1,"relu",0.7,0.1,0.68713787714923,-35.2112175547828,0.111061589669983,1.58313794684353,0.232069609378567,0.567393313367279,-10.1201502358995,-0.063060053619311,1.20883261641209,0.0849977224992188
