"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","tss.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","tjur.valid_mean","cor.valid_mean","tss.valid_mean"
518,1,1,0.5,0.5,0.001,2,0.2,"relu",0.5,0.7,0.59949234395799,-31.1956806204636,0.00392495716125641,1.00539280102938,0.00146678005772692,0.128287287774469,0.72055794773097,0.569311500245687,-8.06150884582603,0.00212850954024961,1.00320170023695,0.000978444626001337,0.0883019378315548,0.716427263641044
670,1,0.6,0.25,0.75,0.002,1,0.1,"relu",0.2,0.5,0.681155721338068,-30.0326799290767,0.0501961806779265,1.11267462298754,0.0192073083665197,0.230184156695285,0.739107991337463,0.569039363125214,-8.00440153472408,0.0120440200710959,1.03986178597138,0.00820084259841972,0.081596173251442,0.731763872363937
624,0.2,0,0.25,0.75,0.002,1,0.2,"relu",0.4,0.5,0.680605404753172,-30.0509485889402,0.049619357660785,1.11017245811792,0.0192586670721646,0.229685895515251,0.736823743144576,0.568842057537216,-7.99038574981082,0.0120108332131419,1.0390803623393,0.00822209826283871,0.0825623311967792,0.729522217352387
474,1,0.8,0.5,0.75,0.002,1,0.1,"relu",1,0.9,0.651471639710824,-30.7835259272453,0.0156167930582674,1.02529438607038,0.0056627644588001,0.194552404245,0.734967263968071,0.568708896297111,-8.05322177330379,0.00558832049008852,1.01000599465361,0.00285316387551682,0.0814194121356343,0.729921376483149
705,0.8,0.4,0.5,0.75,0.002,1,0.2,"relu",0.2,0.3,0.652089257449649,-30.7835801629066,0.0156148904046543,1.02529736980779,0.00566208665892914,0.194671069748472,0.734972102559525,0.568610152028571,-8.05327760392736,0.00556878502751812,1.00995688598189,0.00284903514928726,0.0814185543229891,0.729926176051027
781,0.2,1,0.25,0.25,0.002,2,0.1,"relu",0.1,0.7,0.63307051211853,-29.69327689805,0.0698316509898696,1.26292512330405,0.0346173428889876,0.17334751142323,0.736373396562854,0.568500520658969,-8.06971532311823,-0.00605692339435629,1.12648618252365,0.0147242028889579,0.0805175942619721,0.725579139849574
38,1,1,0.25,0.25,0.001,1,0.1,"relu",0.3,0.2,0.611732434165103,-30.9969348469373,0.0111640845016116,1.01705000469509,0.00448079628595553,0.146141197933487,0.722908529778194,0.568250841173511,-8.04857272286296,0.00447694409932976,1.00780448785365,0.00254852168074691,0.0848341073317209,0.718101070840112
826,0.4,0.4,0.25,0.75,0.001,2,0.1,"relu",0.8,0.7,0.67885137079721,-30.2014299098833,0.046918849951331,1.10033798124379,0.0191413001203757,0.228023208474145,0.728448584371389,0.568206528165318,-7.96593172288136,0.0116706253737713,1.0360142864224,0.0081676684369345,0.0836745818232795,0.721451537393615
165,0.6,0.6,0.25,0.75,0.002,2,0.1,"relu",0.8,0.2,0.680300401886871,-30.0392598922505,0.0498662947544865,1.11162145815849,0.0190759403147727,0.229589060183004,0.739154579418785,0.56816707651735,-8.00680093279932,0.0120187434133848,1.03978782064238,0.00818550304378074,0.0827791951489507,0.731780868435199
967,0.4,0.2,0.25,0.75,0.001,2,0.2,"relu",0.5,0,0.67875258679905,-30.2019151442259,0.0469151014421837,1.10032362623924,0.0191410374512506,0.227737489088792,0.728433966869011,0.568088862648741,-7.96571188200329,0.0116786914039623,1.03603175100435,0.00816958756429617,0.0841685700916461,0.721440081276125
